trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,timepoint,pickup_booking_rule_id
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_014500_required-reservation,01:45:00,01:45:00,ISV,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_014500_required-reservation,01:55:00,01:55:00,NSD,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_054500_required-reservation,05:45:00,05:45:00,ISV,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_054500_required-reservation,05:55:00,05:55:00,NSD,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_060000_required-reservation,06:00:00,06:00:00,ISV,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_060000_required-reservation,06:10:00,06:10:00,NSD,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_061500_required-reservation,06:15:00,06:15:00,ISV,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_061500_required-reservation,06:25:00,06:25:00,NSD,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_063000_required-reservation,06:30:00,06:30:00,ISV,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_063000_required-reservation,06:40:00,06:40:00,NSD,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_064500_required-reservation,06:45:00,06:45:00,ISV,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_064500_required-reservation,06:55:00,06:55:00,NSD,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_070000_required-reservation,07:00:00,07:00:00,ISV,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_070000_required-reservation,07:10:00,07:10:00,NSD,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_071500_regular,07:15:00,07:15:00,ISV,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_071500_regular,07:25:00,07:25:00,NSD,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_073000_regular,07:30:00,07:30:00,ISV,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_073000_regular,07:40:00,07:40:00,NSD,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_073000_required-reservation,07:30:00,07:30:00,ISV,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_073000_required-reservation,07:40:00,07:40:00,NSD,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_074500_regular,07:45:00,07:45:00,ISV,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_074500_regular,07:55:00,07:55:00,NSD,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_080000_foot-only,08:00:00,08:00:00,ISV,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_080000_foot-only,08:10:00,08:10:00,NSD,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_081500_regular,08:15:00,08:15:00,ISV,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_081500_regular,08:25:00,08:25:00,NSD,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_083000_delivery-period,08:30:00,08:30:00,ISV,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_083000_delivery-period,08:40:00,08:40:00,NSD,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_084500_foot-only,08:45:00,08:45:00,ISV,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_084500_foot-only,08:55:00,08:55:00,NSD,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_084500_regular,08:45:00,08:45:00,ISV,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_084500_regular,08:55:00,08:55:00,NSD,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_093000_foot-only,09:30:00,09:30:00,ISV,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_093000_foot-only,09:40:00,09:40:00,NSD,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_094500_foot-only,09:45:00,09:45:00,ISV,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_094500_foot-only,09:55:00,09:55:00,NSD,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_120000_foot-only,12:00:00,12:00:00,ISV,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_120000_foot-only,12:10:00,12:10:00,NSD,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_124500_foot-only,12:45:00,12:45:00,ISV,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_124500_foot-only,12:55:00,12:55:00,NSD,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_134500_foot-only,13:45:00,13:45:00,ISV,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_134500_foot-only,13:55:00,13:55:00,NSD,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_141500_regular,14:15:00,14:15:00,ISV,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_141500_regular,14:25:00,14:25:00,NSD,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_144500_delivery-period,14:45:00,14:45:00,ISV,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_144500_delivery-period,14:55:00,14:55:00,NSD,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_150000_regular,15:00:00,15:00:00,ISV,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_150000_regular,15:10:00,15:10:00,NSD,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_151500_regular,15:15:00,15:15:00,ISV,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_151500_regular,15:25:00,15:25:00,NSD,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_153000_delivery-period,15:30:00,15:30:00,ISV,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_153000_delivery-period,15:40:00,15:40:00,NSD,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_154500_regular,15:45:00,15:45:00,ISV,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_154500_regular,15:55:00,15:55:00,NSD,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_160000_regular,16:00:00,16:00:00,ISV,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_160000_regular,16:10:00,16:10:00,NSD,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_163000_regular,16:30:00,16:30:00,ISV,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_163000_regular,16:40:00,16:40:00,NSD,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_164500_regular,16:45:00,16:45:00,ISV,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_164500_regular,16:55:00,16:55:00,NSD,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_170000_regular,17:00:00,17:00:00,ISV,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_170000_regular,17:10:00,17:10:00,NSD,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_171500_delivery-period,17:15:00,17:15:00,ISV,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_171500_delivery-period,17:25:00,17:25:00,NSD,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_171500_regular,17:15:00,17:15:00,ISV,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_171500_regular,17:25:00,17:25:00,NSD,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_173000_regular,17:30:00,17:30:00,ISV,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_173000_regular,17:40:00,17:40:00,NSD,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_180000_regular,18:00:00,18:00:00,ISV,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_180000_regular,18:10:00,18:10:00,NSD,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_181500_regular,18:15:00,18:15:00,ISV,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_181500_regular,18:25:00,18:25:00,NSD,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_183000_regular,18:30:00,18:30:00,ISV,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_183000_regular,18:40:00,18:40:00,NSD,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_184500_regular,18:45:00,18:45:00,ISV,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_184500_regular,18:55:00,18:55:00,NSD,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_190000_regular,19:00:00,19:00:00,ISV,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_190000_regular,19:10:00,19:10:00,NSD,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_191500_regular,19:15:00,19:15:00,ISV,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_191500_regular,19:25:00,19:25:00,NSD,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_193000_regular,19:30:00,19:30:00,ISV,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_193000_regular,19:40:00,19:40:00,NSD,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_194500_regular,19:45:00,19:45:00,ISV,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_194500_regular,19:55:00,19:55:00,NSD,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_200000_regular,20:00:00,20:00:00,ISV,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_200000_regular,20:10:00,20:10:00,NSD,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_201500_regular,20:15:00,20:15:00,ISV,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_201500_regular,20:25:00,20:25:00,NSD,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_203000_regular,20:30:00,20:30:00,ISV,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_203000_regular,20:40:00,20:40:00,NSD,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_204500_regular,20:45:00,20:45:00,ISV,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_204500_regular,20:55:00,20:55:00,NSD,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_210000_regular,21:00:00,21:00:00,ISV,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_210000_regular,21:10:00,21:10:00,NSD,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_211500_regular,21:15:00,21:15:00,ISV,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_211500_regular,21:25:00,21:25:00,NSD,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_213000_regular,21:30:00,21:30:00,ISV,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_213000_regular,21:40:00,21:40:00,NSD,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_214500_regular,21:45:00,21:45:00,ISV,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_214500_regular,21:55:00,21:55:00,NSD,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_220000_regular,22:00:00,22:00:00,ISV,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_220000_regular,22:10:00,22:10:00,NSD,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_221500_regular,22:15:00,22:15:00,ISV,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_221500_regular,22:25:00,22:25:00,NSD,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_224500_required-reservation,22:45:00,22:45:00,ISV,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_224500_required-reservation,22:55:00,22:55:00,NSD,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_230000_required-reservation,23:00:00,23:00:00,ISV,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_230000_required-reservation,23:10:00,23:10:00,NSD,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_231500_required-reservation,23:15:00,23:15:00,ISV,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_231500_required-reservation,23:25:00,23:25:00,NSD,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_233000_required-reservation,23:30:00,23:30:00,ISV,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_233000_required-reservation,23:40:00,23:40:00,NSD,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_241500_required-reservation,24:15:00,24:15:00,ISV,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_241500_required-reservation,24:25:00,24:25:00,NSD,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_243000_required-reservation,24:30:00,24:30:00,ISV,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_243000_required-reservation,24:40:00,24:40:00,NSD,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_244500_required-reservation,24:45:00,24:45:00,ISV,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_244500_required-reservation,24:55:00,24:55:00,NSD,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_250000_required-reservation,25:00:00,25:00:00,ISV,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_250000_required-reservation,25:10:00,25:10:00,NSD,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_253000_required-reservation,25:30:00,25:30:00,ISV,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_253000_required-reservation,25:40:00,25:40:00,NSD,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_254500_required-reservation,25:45:00,25:45:00,ISV,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_ISV_NSD_254500_required-reservation,25:55:00,25:55:00,NSD,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_NSD_ISV_000000_required-reservation,00:00:00,00:00:00,NSD,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_NSD_ISV_000000_required-reservation,00:10:00,00:10:00,ISV,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_NSD_ISV_001500_required-reservation,00:15:00,00:15:00,NSD,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_NSD_ISV_001500_required-reservation,00:25:00,00:25:00,ISV,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_NSD_ISV_003000_required-reservation,00:30:00,00:30:00,NSD,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_NSD_ISV_003000_required-reservation,00:40:00,00:40:00,ISV,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_NSD_ISV_004500_required-reservation,00:45:00,00:45:00,NSD,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_NSD_ISV_004500_required-reservation,00:55:00,00:55:00,ISV,2,1,0,1,
