service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
service_122,0,0,0,1,0,0,0,20241017,20241031
service_123,0,0,0,0,0,0,0,20241017,20241119
service_124,0,0,0,0,0,0,0,20241018,20241117
service_125,0,0,0,0,0,0,0,20241019,20241108
service_126,0,0,0,0,0,0,0,20241019,20241105
service_127,1,0,0,1,0,1,0,20241019,20241031
service_128,0,0,0,0,0,0,0,20241019,20241119
service_129,0,0,0,0,0,0,0,20241019,20241118
service_130,0,0,0,0,0,0,0,20241019,20241118
service_131,0,0,0,0,0,0,1,20241020,20241020
service_132,0,0,1,0,0,0,1,20241020,20241117
service_133,0,0,0,0,0,0,1,20241020,20241121
service_134,0,0,0,0,0,0,1,20241020,20241117
service_135,1,1,1,1,1,0,0,20241021,20241121
service_136,1,1,1,1,1,1,1,20241021,20241121
service_137,0,0,1,0,0,0,0,20241021,20241105
service_138,1,0,0,0,0,0,0,20241021,20241021
service_139,0,1,0,0,0,0,0,20241022,20241022
service_140,0,0,0,0,0,0,0,20241022,20241110
service_141,0,0,0,0,0,0,0,20241023,20241110
service_142,0,0,1,0,0,0,0,20241023,20241119
service_143,0,0,1,0,0,0,0,20241023,20241023
service_144,0,0,0,0,0,0,0,20241023,20241110
service_145,0,0,0,1,0,0,0,20241024,20241024
service_146,0,0,0,0,0,0,0,20241024,20241120
service_147,0,0,0,0,1,0,0,20241025,20241025
service_148,0,0,0,0,1,1,0,20241025,20241026
service_149,0,0,0,0,0,1,1,20241026,20241117
service_150,0,0,0,0,0,1,0,20241026,20241026
service_151,0,0,0,0,0,1,1,20241026,20241027
service_152,0,0,0,0,0,0,1,20241027,20241027
service_153,0,0,0,0,0,0,0,20241027,20241112
service_154,0,0,1,0,0,0,1,20241027,20241030
service_155,0,0,0,0,0,0,0,20241028,20241115
service_156,1,1,0,0,0,0,0,20241028,20241105
service_157,0,0,1,0,0,0,0,20241031,20241120
service_158,0,0,0,1,0,1,0,20241031,20241102
service_159,0,0,0,1,1,0,1,20241101,20241114
service_160,0,0,0,0,1,0,0,20241101,20241101
service_161,1,0,0,0,0,0,0,20241102,20241121
service_162,1,0,1,0,0,0,0,20241102,20241118
service_163,1,0,0,0,0,0,1,20241103,20241104
service_164,0,0,0,0,0,0,1,20241103,20241103
service_165,1,0,0,0,0,0,0,20241104,20241104
service_166,1,0,0,0,0,0,1,20241104,20241117
service_167,1,1,1,1,1,0,0,20241104,20241121
service_168,0,1,0,0,0,0,0,20241105,20241105
service_169,1,1,1,1,1,0,0,20241105,20241121
service_170,0,0,1,0,0,0,0,20241106,20241120
service_171,0,0,0,1,0,0,0,20241107,20241107
service_172,0,0,0,1,0,0,0,20241107,20241121
service_173,0,0,0,1,1,0,0,20241107,20241121
service_174,1,0,0,0,1,0,0,20241108,20241118
service_175,0,0,0,0,1,0,0,20241108,20241108
service_176,0,0,0,0,0,1,0,20241109,20241109
service_177,0,0,0,0,0,1,0,20241109,20241116
service_178,0,1,0,0,0,0,1,20241110,20241112
service_179,0,0,0,0,0,0,1,20241110,20241110
service_180,1,0,0,0,0,0,0,20241111,20241111
service_181,1,1,0,0,0,0,0,20241111,20241112
service_182,0,1,0,0,0,0,0,20241112,20241112
service_183,0,0,1,0,0,0,0,20241113,20241113
service_184,0,0,0,1,0,0,0,20241114,20241114
service_185,0,0,0,0,0,1,0,20241116,20241116
service_186,0,1,0,1,0,0,0,20241119,20241121
service_187,0,0,1,0,0,0,0,20241120,20241120
service_188,0,0,0,1,0,0,0,20241121,20241121
